,case,run,VB,time,DOC,feed,material,smcAC,smcDC,vib_table,vib_spindle,AE_table,AE_spindle,cut_no
0,1,1,0.0,2,1.5,0.5,1,-0.01708984375,0.625,0.078125,0.31494140625,0.0872802734375,0.103759765625,0
1,1,2,,4,1.5,0.5,1,0.3076171875,0.6689453125,0.07568359375,0.301513671875,0.086669921875,0.0994873046875,1
2,1,3,,6,1.5,0.5,1,-0.72509765625,0.9130859375,0.0830078125,0.29541015625,0.0927734375,0.10498046875,2
3,1,4,0.11,7,1.5,0.5,1,0.1123046875,0.1318359375,0.0830078125,0.316162109375,0.1129150390625,0.1397705078125,3
4,1,5,,11,1.5,0.5,1,-0.1220703125,0.44921875,0.107421875,0.284423828125,0.0958251953125,0.1104736328125,4
5,1,6,0.2,15,1.5,0.5,1,0.32958984375,0.68359375,0.07080078125,0.3076171875,0.103759765625,0.1202392578125,5
6,1,7,0.24,19,1.5,0.5,1,-0.57861328125,1.3818359375,0.06591796875,0.322265625,0.0909423828125,0.1239013671875,6
7,1,8,0.29,22,1.5,0.5,1,0.30029296875,1.435546875,0.06103515625,0.308837890625,0.0927734375,0.108642578125,7
8,1,9,0.28,26,1.5,0.5,1,-0.30517578125,1.4501953125,0.06591796875,0.284423828125,0.084228515625,0.098876953125,8
9,1,10,0.29,29,1.5,0.5,1,0.21484375,1.40625,0.06103515625,0.279541015625,0.087890625,0.1068115234375,9
10,1,11,0.38,32,1.5,0.5,1,-0.595703125,1.3818359375,0.068359375,0.301513671875,0.0994873046875,0.120849609375,10
11,1,12,0.4,35,1.5,0.5,1,0.2294921875,1.3916015625,0.05615234375,0.391845703125,0.08544921875,0.1092529296875,11
12,1,13,0.43,38,1.5,0.5,1,-0.595703125,1.3427734375,0.05859375,0.3173828125,0.096435546875,0.113525390625,12
13,1,14,0.45,41,1.5,0.5,1,0.1953125,1.4013671875,0.1025390625,0.3515625,0.0921630859375,0.1043701171875,13
14,1,15,0.5,44,1.5,0.5,1,-0.625,1.38671875,0.0830078125,0.29541015625,0.0958251953125,0.103759765625,14
15,1,16,,46,1.5,0.5,1,-0.625,1.4013671875,0.08544921875,0.30517578125,0.076904296875,0.0946044921875,15
16,1,17,0.44,48,1.5,0.5,1,0.3369140625,1.4501953125,0.08056640625,0.28076171875,0.078125,0.0958251953125,16
17,2,1,0.08,3,0.75,0.5,1,-0.6494140625,1.3671875,0.087890625,0.3076171875,0.018310546875,0.123291015625,17
18,2,2,0.14,9,0.75,0.5,1,-0.751953125,1.3671875,0.06103515625,0.286865234375,0.0823974609375,0.106201171875,18
19,2,3,0.14,12,0.75,0.5,1,0.2978515625,1.38671875,0.068359375,0.345458984375,0.0933837890625,0.1104736328125,19
20,2,4,0.14,15,0.75,0.5,1,-0.556640625,1.3623046875,0.087890625,0.29296875,0.0921630859375,0.107421875,20
21,2,5,0.15,22,0.75,0.5,1,-0.6201171875,1.3330078125,0.09765625,0.294189453125,0.0177001953125,0.093994140625,21
22,2,6,,24,0.75,0.5,1,0.205078125,1.376953125,0.17578125,0.3125,0.10986328125,0.13427734375,22
23,2,7,0.18,27,0.75,0.5,1,-0.361328125,1.3818359375,0.0927734375,0.30517578125,0.1129150390625,0.12939453125,23
24,2,8,0.22,33,0.75,0.5,1,0.2783203125,1.3720703125,0.087890625,0.283203125,0.093994140625,0.1141357421875,24
25,2,9,0.26,39,0.75,0.5,1,-0.0537109375,1.4013671875,0.08544921875,0.274658203125,0.091552734375,0.106201171875,25
26,2,10,0.31,45,0.75,0.5,1,0.126953125,1.40625,0.1025390625,0.286865234375,0.0970458984375,0.1055908203125,26
27,2,11,0.38,51,0.75,0.5,1,-0.18310546875,1.4208984375,0.10986328125,0.279541015625,0.0994873046875,0.1043701171875,27
28,2,12,0.43,59,0.75,0.5,1,-0.18310546875,1.396484375,0.10009765625,0.284423828125,0.1007080078125,0.118408203125,28
29,2,13,0.48,66,0.75,0.5,1,-0.12451171875,1.4013671875,0.09521484375,0.294189453125,0.1141357421875,0.1324462890625,29
30,2,14,0.55,72,0.75,0.5,1,-0.615234375,1.3623046875,0.08544921875,0.281982421875,0.10498046875,0.123291015625,30
31,3,1,0.0,0,0.75,0.25,1,-0.55419921875,1.2890625,0.10009765625,0.25390625,0.1080322265625,0.123291015625,31
32,3,2,0.13,3,0.75,0.25,1,-0.60791015625,1.337890625,0.10986328125,0.277099609375,0.1123046875,0.1251220703125,32
33,3,3,0.13,9,0.75,0.25,1,0.1611328125,1.3330078125,0.10009765625,0.277099609375,0.1171875,0.13671875,33
34,3,5,0.17,21,0.75,0.25,1,0.1123046875,1.42578125,0.17822265625,0.283203125,0.130615234375,0.1519775390625,34
35,3,6,0.19,27,0.75,0.25,1,0.13916015625,1.3720703125,0.1708984375,0.294189453125,0.11962890625,0.14892578125,35
36,3,7,0.2,33,0.75,0.25,1,0.37841796875,1.38671875,0.1953125,0.29052734375,0.128173828125,0.1605224609375,36
37,3,8,0.23,39,0.75,0.25,1,0.28564453125,1.376953125,0.1904296875,0.28564453125,0.133056640625,0.1605224609375,37
38,3,9,0.23,45,0.75,0.25,1,-0.0634765625,1.4306640625,0.16845703125,0.28564453125,0.1171875,0.1495361328125,38
39,3,10,0.26,51,0.75,0.25,1,0.2490234375,1.396484375,0.17578125,0.2880859375,0.130615234375,0.1641845703125,39
40,3,11,0.28,57,0.75,0.25,1,-0.146484375,1.42578125,0.10986328125,0.299072265625,0.135498046875,0.1611328125,40
41,3,12,0.33,63,0.75,0.25,1,-0.6689453125,1.38671875,0.1171875,0.264892578125,0.125732421875,0.15625,41
42,3,14,0.36,69,0.75,0.25,1,0.2783203125,1.357421875,0.18310546875,0.20751953125,0.1153564453125,0.1361083984375,42
43,3,15,0.44,75,0.75,0.25,1,-0.263671875,1.416015625,0.18798828125,0.281982421875,0.118408203125,0.1422119140625,43
44,3,16,0.55,81,0.75,0.25,1,-0.30029296875,1.3671875,0.18798828125,0.281982421875,0.1336669921875,0.1678466796875,44
45,4,1,0.08,3,1.5,0.25,1,-0.24169921875,1.34765625,0.1611328125,0.28564453125,0.1214599609375,0.1531982421875,45
46,4,2,0.13,9,1.5,0.25,1,0.341796875,1.3916015625,0.17333984375,0.2734375,0.106201171875,0.128173828125,46
47,4,3,0.2,15,1.5,0.25,1,0.27587890625,1.376953125,0.29296875,0.301513671875,0.1092529296875,0.1361083984375,47
